Time resolution is 1 ps
[800.00 ns] Correct Result! A=11110111(  -9)	 B=11111010(  -6)	 OP=MUL		 Result=00110110(  54)	 Golden=00110110(  54)
[816.00 ns] Correct Result! A=11111000(  -8)	 B=00001001(   9)	 OP=ADD		 Result=00000001(   1)	 Golden=00000001(   1)
[832.00 ns] Correct Result! A=00000100(   4)	 B=00000011(   3)	 OP=ADD		 Result=00000111(   7)	 Golden=00000111(   7)
[848.00 ns] Correct Result! A=11111001(  -7)	 B=00001011(  11)	 OP=SUB		 Result=11101110( -18)	 Golden=11101110( -18)
[864.00 ns] Correct Result! A=00001001(   9)	 B=11111101(  -3)	 OP=MUL		 Result=11100101( -27)	 Golden=11100101( -27)
[880.00 ns] Correct Result! A=00001010(  10)	 B=00000110(   6)	 OP=SUB		 Result=00000100(   4)	 Golden=00000100(   4)
[896.00 ns] Correct Result! A=11110110( -10)	 B=00000100(   4)	 OP=SQR		 Result=01100100( 100)	 Golden=01100100( 100)
[912.00 ns] Correct Result! A=00001001(   9)	 B=11110100( -12)	 OP=ADD		 Result=11111101(  -3)	 Golden=11111101(  -3)
[928.00 ns] Correct Result! A=00001000(   8)	 B=11111101(  -3)	 OP=SQR		 Result=01000000(  64)	 Golden=01000000(  64)
[944.00 ns] Correct Result! A=11111110(  -2)	 B=11111000(  -8)	 OP=ADD		 Result=11110110( -10)	 Golden=11110110( -10)
[960.00 ns] Correct Result! A=11111101(  -3)	 B=00001001(   9)	 OP=ADD		 Result=00000110(   6)	 Golden=00000110(   6)
[976.00 ns] Correct Result! A=00000110(   6)	 B=11111010(  -6)	 OP=SUB		 Result=00001100(  12)	 Golden=00001100(  12)
[992.00 ns] Correct Result! A=00000110(   6)	 B=00000000(   0)	 OP=SQR		 Result=00100100(  36)	 Golden=00100100(  36)
[1008.00 ns] Correct Result! A=00001010(  10)	 B=00001110(  14)	 OP=MUL		 Result=10001100(-116)	 Golden=10001100(-116)
[1024.00 ns] Correct Result! A=00000101(   5)	 B=11111010(  -6)	 OP=SUB		 Result=00001011(  11)	 Golden=00001011(  11)
[1040.00 ns] Correct Result! A=00000111(   7)	 B=00000110(   6)	 OP=ADD		 Result=00001101(  13)	 Golden=00001101(  13)
[1056.00 ns] Correct Result! A=00000110(   6)	 B=11110110( -10)	 OP=SUB		 Result=00010000(  16)	 Golden=00010000(  16)
[1072.00 ns] Correct Result! A=00001100(  12)	 B=00000110(   6)	 OP=ADD		 Result=00010010(  18)	 Golden=00010010(  18)
[1088.00 ns] Correct Result! A=00001110(  14)	 B=11111011(  -5)	 OP=SQR		 Result=11000100( -60)	 Golden=11000100( -60)
[1104.00 ns] Correct Result! A=00001001(   9)	 B=11111010(  -6)	 OP=SUB		 Result=00001111(  15)	 Golden=00001111(  15)
[1120.00 ns] Correct Result! A=00000111(   7)	 B=11110001( -15)	 OP=MUL		 Result=10010111(-105)	 Golden=10010111(-105)
[1136.00 ns] Correct Result! A=00000000(   0)	 B=00000101(   5)	 OP=SUB		 Result=11111011(  -5)	 Golden=11111011(  -5)
[1152.00 ns] Correct Result! A=11111001(  -7)	 B=00000001(   1)	 OP=SUB		 Result=11111000(  -8)	 Golden=11111000(  -8)
[1168.00 ns] Correct Result! A=11111000(  -8)	 B=00001011(  11)	 OP=SQR		 Result=01000000(  64)	 Golden=01000000(  64)
[1184.00 ns] Correct Result! A=11111100(  -4)	 B=11111010(  -6)	 OP=MUL		 Result=00011000(  24)	 Golden=00011000(  24)
[1200.00 ns] Correct Result! A=11111000(  -8)	 B=00001001(   9)	 OP=SUB		 Result=11101111( -17)	 Golden=11101111( -17)
[1216.00 ns] Correct Result! A=00001110(  14)	 B=11110110( -10)	 OP=SQR		 Result=11000100( -60)	 Golden=11000100( -60)
[1232.00 ns] Correct Result! A=00001010(  10)	 B=00001010(  10)	 OP=SUB		 Result=00000000(   0)	 Golden=00000000(   0)
[1248.00 ns] Correct Result! A=00001110(  14)	 B=11111000(  -8)	 OP=SUB		 Result=00010110(  22)	 Golden=00010110(  22)
[1264.00 ns] Correct Result! A=00001000(   8)	 B=00001010(  10)	 OP=SQR		 Result=01000000(  64)	 Golden=01000000(  64)
[1280.00 ns] Correct Result! A=00001011(  11)	 B=11110111(  -9)	 OP=MUL		 Result=10011101( -99)	 Golden=10011101( -99)
[1296.00 ns] Correct Result! A=00001010(  10)	 B=00000100(   4)	 OP=SUB		 Result=00000110(   6)	 Golden=00000110(   6)
[1312.00 ns] Correct Result! A=00000010(   2)	 B=11110100( -12)	 OP=SQR		 Result=00000100(   4)	 Golden=00000100(   4)
[1328.00 ns] Correct Result! A=11110110( -10)	 B=00001010(  10)	 OP=MUL		 Result=10011100(-100)	 Golden=10011100(-100)
[1344.00 ns] Correct Result! A=00000010(   2)	 B=11111101(  -3)	 OP=ADD		 Result=11111111(  -1)	 Golden=11111111(  -1)
[1360.00 ns] Correct Result! A=11110100( -12)	 B=00001010(  10)	 OP=SUB		 Result=11101010( -22)	 Golden=11101010( -22)
[1376.00 ns] Correct Result! A=11110001( -15)	 B=00001110(  14)	 OP=SQR		 Result=11100001( -31)	 Golden=11100001( -31)
[1392.00 ns] Correct Result! A=11111011(  -5)	 B=11111111(  -1)	 OP=SUB		 Result=11111100(  -4)	 Golden=11111100(  -4)
